"sample","stromal","immune","estimate","purity","type","sam","cancer_type"
"C3N-02379_r",-304.886003136847,888.109356593536,583.223353456689,0.7708654669521,"r","C3N-02379","LUAD"
"C3L-00081_r",548.61292933259,-1757.81645240739,-1209.2035230748,0.910009168246606,"r","C3L-00081","LUSC"
"C3L-00415_r",-1261.69558759219,614.89754572201,-646.798041870176,0.872722659809598,"r","C3L-00415","LUSC"
"C3L-00445_r",401.530033732184,-2030.57140027676,-1629.04136654458,0.933815428332559,"r","C3L-00445","LUSC"
"C3L-00568_r",2280.83210956582,1543.30003134754,3824.13214091336,0.393532395882509,"r","C3L-00568","LUSC"
"C3L-00603_r",-885.814602921202,-154.126915827687,-1039.94151874889,0.899428632453293,"r","C3L-00603","LUSC"
"C3L-00904_r",362.67057667521,1176.32296367528,1538.99354035049,0.674216074349553,"r","C3L-00904","LUSC"
"C3L-00923_r",1612.04414839777,2892.10215295985,4504.14630135762,0.299961882293483,"r","C3L-00923","LUSC"
"C3L-00927_r",-384.414778896142,-493.13261165773,-877.547390553871,0.888755457401276,"r","C3L-00927","LUSC"
"C3L-00965_r",-675.875190665363,-1888.61897504242,-2564.49416570778,0.97399611853264,"r","C3L-00965","LUSC"
"C3L-00993_r",-2248.87948554719,-2631.73491500108,-4880.61440054826,0.993798056839297,"r","C3L-00993","LUSC"
"C3L-01000_r",769.221510157927,1822.91976643983,2592.14127659775,0.552460185820626,"r","C3L-01000","LUSC"
"C3L-01285_r",-1640.1919627503,-2764.30848276028,-4404.50044551058,0.999137239777158,"r","C3L-01285","LUSC"
"C3L-01455_r",2493.77734314277,2892.95572946269,5386.73307260546,0.174205817710036,"r","C3L-01455","LUSC"
"C3L-01606_r",134.997142030666,691.736955228486,826.734097259152,0.747608702798736,"r","C3L-01606","LUSC"
"C3L-01663_r",1874.6102638378,565.923293206861,2440.53355704466,0.570871652401531,"r","C3L-01663","LUSC"
"C3L-01838_r",2788.94735253354,68.8131766547123,2857.76052918825,0.519548994941767,"r","C3L-01838","LUSC"
"C3L-01884_r",-964.436800654764,-448.946068510401,-1413.38286916516,0.922024308344946,"r","C3L-01884","LUSC"
"C3L-02127_r",165.135412139137,-721.735290318374,-556.599878179238,0.866182350772365,"r","C3L-02127","LUSC"
"C3L-02130_r",2397.49106079978,813.530985899568,3211.02204669935,0.474563736818894,"r","C3L-02130","LUSC"
"C3L-02163_r",-1248.62352089739,-2568.79040354773,-3817.41392444512,0.999004018418807,"r","C3L-02163","LUSC"
"C3L-02164_r",3074.95096609887,3514.87519849795,6589.82616459682,NA,"r","C3L-02164","LUSC"
"C3L-02168_r",2166.60895174123,40.0322105272791,2206.6411622685,0.598718183784581,"r","C3L-02168","LUSC"
"C3L-02170_r",2737.7786660258,2565.85700492881,5303.63567095462,0.186203782725334,"r","C3L-02170","LUSC"
"C3L-02349_r",-1090.70184389037,80.4947725822345,-1010.20707130814,0.89751241436274,"r","C3L-02349","LUSC"
"C3L-02358_r",-424.360172705333,-1889.63727387129,-2313.99744657662,0.965008845292856,"r","C3L-02358","LUSC"
"C3L-02546_r",2403.99576757301,1317.15455550413,3721.15032307715,0.40738369878873,"r","C3L-02546","LUSC"
"C3L-02552_r",3329.63581731405,2036.47763203133,5366.11344934538,0.177185455911576,"r","C3L-02552","LUSC"
"C3L-02619_r",911.652315623201,466.217516089342,1377.86983171254,0.691493023816184,"r","C3L-02619","LUSC"
"C3L-02624_r",-263.74366775813,-978.610730399251,-1242.35439815738,0.912015839775518,"r","C3L-02624","LUSC"
"C3L-02625_r",513.179669162293,2739.63884243185,3252.81851159414,0.469154474545972,"r","C3L-02625","LUSC"
"C3L-02627_r",-1281.94896114011,-68.1156866041471,-1350.06464774426,0.918386383716464,"r","C3L-02627","LUSC"
"C3L-02629_r",3256.72004522819,2611.60817121448,5868.32821644267,0.104217033868653,"r","C3L-02629","LUSC"
"C3L-02646_r",-470.049683359756,-1206.32426999575,-1676.3739533555,0.93627850734187,"r","C3L-02646","LUSC"
"C3L-02648_r",-65.8365011803809,296.048291706553,230.211790526172,0.802823964477432,"r","C3L-02648","LUSC"
"C3L-02649_r",-1693.53140295588,-1835.69021698288,-3529.22161993876,0.99622323641836,"r","C3L-02649","LUSC"
"C3L-02650_r",1237.37719039622,2598.35625820002,3835.73344859624,0.391966297368063,"r","C3L-02650","LUSC"
"C3L-02660_r",2421.98780820455,1490.38826483231,3912.37607303686,0.381591712156145,"r","C3L-02660","LUSC"
"C3L-02665_r",-630.458436579776,706.889255031535,76.4308184517597,0.816076833434711,"r","C3L-02665","LUSC"
"C3L-02669_r",1145.70456904981,-135.374218839749,1010.33035021006,0.729440968853647,"r","C3L-02669","LUSC"
"C3L-02891_r",1590.96386677975,2364.30231131184,3955.2661780916,0.375764812928548,"r","C3L-02891","LUSC"
"C3L-02951_r",2695.99605898989,2272.81871784262,4968.81477683251,0.234247786007229,"r","C3L-02951","LUSC"
"C3L-02963_r",2572.90849438072,2430.49057132454,5003.39906570527,0.229309462166946,"r","C3L-02963","LUSC"
"C3L-02964_r",747.181498986665,2488.41312989527,3235.59462888193,0.471385725340227,"r","C3L-02964","LUSC"
"C3L-02968_r",605.392916177091,2571.02691973741,3176.4198359145,0.479028418145188,"r","C3L-02968","LUSC"
"C3L-02969_r",982.246874916566,3419.72999675781,4401.97687167437,0.314234292976959,"r","C3L-02969","LUSC"
"C3L-03272_r",-916.029457955667,181.178674905973,-734.850783049693,0.878959841943551,"r","C3L-03272","LUSC"
"C3L-03678_r",-1006.51735120085,-1481.59202190983,-2488.10937311069,0.97139461367976,"r","C3L-03678","LUSC"
"C3L-03961_r",2035.69018771801,2807.58745326749,4843.2776409855,0.252121690161672,"r","C3L-03961","LUSC"
"C3L-03962_r",-1116.37420039393,-2903.91381494153,-4020.28801533546,0.999889658249967,"r","C3L-03962","LUSC"
"C3L-03963_r",1676.79164682502,2880.44526957573,4557.23691640075,0.29251862485157,"r","C3L-03963","LUSC"
