"","lfc","p_ttest","padj_ttest"
"DNAJB14",-0.472045185340359,0.000874835957837176,0.00282527560744228
"DNAJB2",0.32550896494944,0.00177005432233205,0.00513178539962936
"DNAJB4",-0.58079092707919,5.42304594814999e-07,6.59996230285488e-06
"DNAJB5",-0.984668741424511,0.00498798151873107,0.0123241467882927
"DNAJB6",0.13099514849679,0.250691336666868,0.342477389545536
"DNAJB9",-0.593882966205245,0.00150414719307029,0.00447836108555281
"DNAJC1",0.659358294180986,1.58841234738994e-05,9.70208647363052e-05
"DNAJC10",0.367022348212759,0.000339408876800411,0.00127036640415981
"DNAJC11",0.0461128327056703,0.58161586585689,0.667410040074628
"DNAJC12",0.378781080743466,0.0447485365662993,0.0808650380172263
"DNAJC13",-0.212633246626634,0.00442055160665012,0.0111130930256116
"DNAJC16",0.0416394098692997,0.278685519222354,0.372448871484081
"DNAJC17",-0.278751594767093,0.0278477942053382,0.0538226512189661
"DNAJC19",0.766806959937319,2.32471113358451e-08,6.97700341449869e-07
"DNAJC2",0.244957999685046,0.00103612071391686,0.00325414906737276
"DNAJC21",0.36421954464272,5.04085191291588e-06,3.76765903160599e-05
"DNAJC24",-1.11094206617674,4.35422250949273e-06,3.35237210469575e-05
"DNAJC25",-0.412180358467992,0.000448342643036989,0.00160105907487759
"DNAJC3",0.363830678107843,0.00187539315245178,0.00538103364250253
"DNAJC30",-0.108127789453144,0.882460732172998,0.914773842586075
"DNAJC5",0.861296530511625,2.9696001886384e-05,0.000162959324121443
"DNAJC7",0.414267739978975,1.61506047199237e-06,1.53517576047447e-05
"DNAJC8",0.701595521684373,1.39118762533986e-07,2.38587450948938e-06
"DNAJC9",-0.13618782623842,0.197655964449408,0.281019935012252
"DNAL1",-0.379336922050784,0.00151685857090688,0.00451068279617691
"DNAL4",0.586036202590462,0.00409839975160799,0.0104381454124243
"DNALI1",0.146814530402916,0.246845104011275,0.338216400085337
"DNASE1L1",0.214054006443678,0.190277320129578,0.272457172867032
"DNASE2",0.0432277610635376,0.669429568781431,0.74479784059847
"DNHD1",-0.277441081056907,0.174529071554516,0.253452910961188
"DNLZ",0.21444523946549,0.0103156308666949,0.0230014204420411
"DNM1",-0.902793495263168,2.34508437770575e-09,1.72130530339912e-07
"DNM1L",-0.1494500260741,0.0173286373067328,0.0357605409954732
"DNM2",-0.49911193442193,9.58725137536219e-07,1.01182328579125e-05
"DNMBP",-0.542999529610355,0.0359323713223895,0.0670259694492452
"DNMT1",0.479812926405521,2.89940297660459e-08,8.10166509899512e-07
"DNMT3A",0.0107367777282842,0.474892346307111,0.570389003900068
"DNPEP",-0.287495272399846,0.000245549690348973,0.000967865905534419
"DNPH1",-0.688467127214991,2.85003986641918e-08,8.00976521995957e-07
"DNTTIP1",0.130277499901746,0.0447739477298345,0.0808959248838556
"DNTTIP2",0.206665795665136,0.00146391414472776,0.00438003112102546
"DOCK1",-0.109920168455239,0.303140703108634,0.398573133746291
"DOCK10",0.0197157465372092,0.835583447941053,0.878931066988077
"DOCK11",-0.203747024200238,0.0218512993072025,0.0437565968828742
"DOCK2",-0.287517223515294,0.0054162696082371,0.0132131976092568
"DOCK4",0.254545859088661,0.00158786983546136,0.00468460141991087
"DOCK5",0.0204265653203819,0.653615458960786,0.730966845650912
"DOCK6",-0.161491451180331,0.120571778283337,0.186813252394386
"DOCK7",0.204687559262878,0.00074817342137328,0.00246117670819816
"DOCK8",-0.0999038219179927,0.163062787240569,0.239194832271428
"DOCK9",-0.235770692582073,0.00566581332193234,0.0137233068529662
"DOHH",-0.718834677341201,1.93134753511387e-05,0.000113698673338096
