,breast,STAD,colon,HNSC,ovary,Renal,LUSC,LUAD,UCEC,PRAD,PAAD,PedBrain,GBM,HCC
MRVI1,0.6076,0.4921,0.403,0.4332,0.6713,0.8717,0.8073,0.6602,0.805,0.4508,0.5279,0.6656,0.8231,0.5554
PCGF3,0.2389,,,,0.0066,,0.338,0.1857,-0.1016,,,,-0.1546,
TFG,0.2809,0.1857,0.2498,0.6449,0.5012,0.624,0.7595,0.729,0.3933,0.1081,0.2108,0.4278,0.4213,0.5054
TRDN,-0.0406,,,0.6764,,,0.0775,,,,,,,
TRIM22,0.6466,0.3761,0.5484,0.8754,0.722,0.6202,0.8059,0.731,0.8226,0.3781,0.6543,0.6066,0.7206,0.8265
ABCA7,0.2222,,,,,,,0.1218,0.0863,,,,,0.0565
ABCA8,0.1726,0.6001,0.3048,0.6713,0.5205,0.4832,0.5521,0.6642,0.5159,0.4244,0.6008,0.6592,0.8601,0.8316
WARS2,0.4735,0.0261,0.3431,0.4036,0.4432,0.2047,0.5236,0.5169,0.5025,0.0767,0.4015,0.1723,0.5636,0.5635
NPM3,0.6357,0.6283,0.3517,0.7155,0.4516,0.6396,0.6926,0.6095,0.562,0.0838,0.3062,0.5992,0.4287,0.7805
HMG20B,0.3153,0.1609,,0.0612,0.1809,0.1998,0.2452,0.1562,0.4146,-0.0538,-0.0156,0.4998,0.4682,0.1686
HMG20A,0.0865,0.0156,0.0728,-0.0285,0.0998,0.0808,0.2284,0.3646,0.2819,0.0848,-0.0035,-0.1004,0.3602,0.0912
MICU1,0.4297,0.2313,0.2368,0.2941,0.2783,0.1245,0.6126,0.6784,0.5953,0.361,0.5635,0.1113,0.6725,0.3176
CITED2,0.3432,,,0.0291,,0.4524,0.1826,0.4347,0.241,,,,,
SEMA3A,0.0086,,,,,,0.3773,0.5113,0.5847,,,,0.5327,
TUBA1B,0.2139,,0.0002,,0.3091,0.0963,0.2938,,,-0.101,0.2133,,,0.4479
IRF9,0.6954,0.3447,0.5916,0.721,0.6202,0.5867,0.7712,0.7168,0.6745,0.5981,0.5505,0.6293,0.7648,0.8181
BPNT1,0.5544,0.3661,0.3568,0.6393,0.6513,0.529,0.6251,0.7434,0.7844,0.0883,0.6512,0.3912,0.5067,0.4639
TUBB3,0.4157,0.1492,0.1543,0.6479,0.2152,0.3934,0.5418,0.523,0.3429,,0.2805,0.487,0.397,0.2328
TUBB4A,0.1407,0.2035,0.0574,-0.1004,0.1576,0.2051,0.0984,0.0773,0.209,-0.0795,0.1562,0.3767,0.6694,0.1689
TUBB4B,0.1888,0.0724,0.2412,0.3421,0.3088,0.3516,0.3347,0.391,0.2544,0.165,0.1002,0.1551,-0.0053,0.1626
BTN3A3,0.615,0.3623,0.4023,0.861,0.7164,0.7381,0.8255,0.7915,0.6109,,0.6252,0.7332,0.7486,0.7383
SCML2,0.6515,,-0.1568,0.7233,0.3737,,0.9107,0.6257,0.6779,,0.1598,,0.6799,0.6984
CEPT1,0.215,0.1992,0.3686,0.3493,0.3668,0.2617,0.501,0.2206,0.1903,-0.1039,-0.022,,0.2188,0.233
CORO2B,0.8385,0.5366,,0.4406,0.5148,0.7834,0.6679,0.7261,0.6266,0.2039,0.6846,0.5741,0.7298,0.2893
