,breast,STAD,colon,HNSC,ovary,Renal,LUSC,LUAD,UCEC,PRAD,PAAD,PedBrain,GBM,HCC
KAT2A,0.35,,,0.3151,0.0504,0.2739,0.3817,0.2731,0.2653,,0.0289,,,0.0027
GCNT1,0.7012,0.29,0.0535,,,,0.762,0.6003,0.8344,0.5275,0.5743,,,0.4987
GCSH,0.4284,0.2348,0.055,0.6466,0.5629,0.5636,0.8046,0.585,0.6057,0.2828,0.2596,0.1411,0.3642,0.4794
GDI1,0.2981,0.2799,0.2007,0.3947,0.4402,0.4288,0.3661,0.6726,0.246,0.187,0.06,0.7217,0.5425,0.3718
GDI2,0.5888,0.2409,0.3564,0.6528,0.5072,0.3983,0.7474,0.4736,0.4949,0.0138,0.0249,0.0214,0.5131,0.4269
GEM,0.5524,0.2629,,0.1318,,0.3038,0.567,0.535,0.5741,,0.1793,,0.5406,0.7137
GFAP,0.1408,0.1996,0.1828,0.1304,0.2154,0.0932,0.0859,-0.0121,0.0474,,-0.1124,0.6761,0.7927,
GFER,0.3788,0.2862,0.1637,0.2082,0.4298,0.4389,0.3808,0.3984,0.1929,-0.2777,0.1283,0.25,0.0527,0.34
GFPT1,0.6283,0.3446,0.6561,0.7424,0.5455,0.6244,0.6955,0.7672,0.8078,0.2069,0.6652,0.3154,0.5985,0.5833
GFRA1,0.8468,0.4032,0.0326,0.719,0.5025,0.5992,0.6992,0.4717,0.4823,,0.7156,0.8584,0.8712,0.8121
GGCX,0.2819,0.1051,0.0949,0.3786,0.3895,0.4809,0.2618,0.7275,0.4137,0.247,0.0916,,0.4444,0.5285
GGT1,0.5736,0.6014,0.4654,0.7999,0.5466,0.663,0.8088,0.775,0.791,,0.7529,0.5593,0.4748,0.9216
B4GALT1,0.6011,0.3202,0.2654,0.6104,0.6147,0.4594,0.7112,0.519,0.769,0.2922,0.4685,,0.8271,0.4942
GGT7,0.3647,0.3575,0.4603,0.2692,0.6572,0.4694,0.616,0.7544,0.685,0.2046,0.2832,0.5505,0.5775,0.5824
GGT5,0.4689,0.4635,0.4604,0.6599,0.6284,0.7671,0.7288,0.6212,0.7453,0.3122,0.5643,0.751,0.7058,0.8075
GJA1,0.6653,0.3824,,0.9152,0.6298,0.7702,0.8936,0.7842,0.709,,0.6604,0.7135,0.6263,0.173
GK,0.6586,0.4595,0.5037,0.6434,0.6501,0.7052,0.7353,0.8137,0.7388,,0.4804,0.3366,0.3969,0.7377
GLA,0.5209,0.4571,0.305,0.4834,0.3102,0.3294,0.7191,0.521,0.2389,-0.0614,0.1905,0.505,0.5779,0.5875
GPC3,0.2413,,,0.2465,0.0034,-0.0816,0.8193,0.6138,0.0256,,0.2945,,,0.8891
GLB1,0.4431,0.2774,0.1845,0.4849,0.4316,0.6641,0.7092,0.3226,0.4704,0.1571,0.4337,0.6116,0.6334,0.4803
GCLC,0.6507,0.2115,0.4621,0.8408,0.5436,0.6121,0.9463,0.8803,0.8445,0.2596,0.4202,0.6043,0.6896,0.7677
GCLM,0.5256,0.5013,0.3646,0.8574,0.5852,0.4802,0.9116,0.7687,0.7177,0.2391,0.4991,0.5411,0.7424,0.8264
GLDC,0.5577,-0.0173,-0.1149,0.7546,0.8421,0.5477,0.8017,0.6737,0.7913,,-0.0198,0.8466,0.7998,0.7799
GLE1,0.1762,0.1716,0.1072,0.4169,0.0962,-0.0455,0.4573,0.2534,0.1421,-0.1065,0.0582,0.3285,0.2943,0.1551
GLG1,0.403,0.425,0.2,0.4433,0.4936,0.3355,0.577,0.5378,0.3595,-0.0038,0.3714,0.3439,0.5034,0.4174
GLI1,0.0481,,-0.094,,,,,,,,0.2132,,,-0.2186
GLI3,0.5276,,,0.3354,0.196,,0.3216,0.1795,0.3269,,,,0.4328,
GLO1,0.5199,0.2442,0.0581,0.5772,0.5981,0.6147,0.6241,0.5789,0.4505,0.3399,0.1487,0.2662,0.2954,0.6536
GLS,0.6454,0.3244,0.5262,0.6919,0.6087,0.452,0.587,0.8444,0.736,0.3279,0.2754,0.5562,0.2345,0.7229
GLRX,0.682,0.2834,0.3508,0.6189,0.6099,0.6514,0.8448,0.7303,0.7471,0.5191,0.4952,0.4731,0.6287,0.8463
GLUD1,0.6707,0.0589,0.244,0.7063,0.7396,0.3923,0.7436,0.5763,0.5276,0.2449,0.1607,0.6689,0.5931,0.8576
GLUD2,0.3317,0.0813,0.0916,,0.4394,-0.0105,0.0575,-0.0176,0.0052,,0.1834,0.3768,0.3423,0.2616
GLUL,0.6462,0.1433,0.468,0.6613,0.2793,0.6016,0.6717,0.3361,0.7526,0.1949,0.5613,0.6797,0.6675,0.6196
GM2A,0.3635,0.4401,0.2854,0.7661,0.4718,0.4249,0.7046,0.4499,0.4887,-0.0377,0.4192,0.2555,0.5188,0.6308
GMDS,0.6384,0.474,0.4894,0.864,0.7515,0.6532,0.7195,0.8837,0.8978,0.3831,0.9094,0.2476,0.4798,0.6218
GMFB,0.3987,0.3065,0.232,0.3657,0.4964,0.3625,0.1005,0.4796,0.04,0.0388,0.0886,0.6445,0.4611,0.3638
GMPR,0.4182,0.4534,0.2878,0.5351,0.8178,0.3697,0.43,0.6668,0.827,0.5201,0.3035,0.7698,0.6113,0.5983
GNA11,0.2515,0.1807,0.1086,0.2449,0.2722,0.3698,0.4529,0.4844,0.2362,-0.1087,0.2148,0.3153,0.2694,0.4434
GNA12,0.0314,0.0615,0.1034,0.1526,0.0052,0.2435,0.3373,0.1739,0.2357,,0.1315,0.5016,0.5069,0.2343
GNAI1,0.0793,0.2296,0.1435,0.5354,-0.0355,0.5245,0.3992,0.2364,0.2093,0.4844,-0.0486,0.4456,0.2084,0.2741
GNAI2,0.4028,0.2175,0.455,0.3357,0.4361,0.4875,0.497,0.5072,0.5065,0.157,0.326,0.4259,0.3342,0.5026
GNAI3,-0.0435,0.0293,0.1527,0.4617,-0.0191,0.4121,0.3185,0.461,0.2794,-0.164,0.2233,-0.4176,-0.2559,0.2235
GNAO1,0.2718,0.3842,0.2912,0.1209,0.3826,0.4947,0.3474,0.4632,0.5078,0.4375,0.2143,0.7307,0.6364,0.7124
GNAQ,0.5088,0.1718,0.3248,0.4436,0.5428,0.3943,0.4107,0.4384,0.3909,0.0521,0.2066,0.6564,0.3384,0.3159
GNAS,0.3588,0.1326,0.3783,0.2646,0.1626,0.381,0.4505,0.3441,0.1254,-0.1073,0.2326,0.2512,0.5483,0.4111
GNAZ,0.0852,0.2485,-0.0661,,0.1101,,-0.0579,0.0716,0.1909,0.3227,,0.6674,0.7199,0.6048
GNB1,0.241,-0.0922,0.171,0.3625,0.0855,0.1929,0.3213,0.1738,0.1177,-0.2557,0.1187,0.3385,0.0667,0.1838
GNB2,0.1237,-0.2056,-0.0484,0.3738,0.1455,0.3421,0.3088,0.2026,0.3648,-0.1987,0.0784,-0.1943,0.0807,0.1404
GNB3,-0.1093,0.3972,0.2405,-0.2098,-0.0855,0.0098,-0.1418,0.181,0.1592,,0.1443,-0.0056,0.1288,
GNG4,0.4651,0.3003,0.4051,0.6332,,,0.5362,,0.3936,0.378,0.194,0.5574,0.7984,0.829
GNG5,0.0557,0.068,-0.123,0.1129,0.1199,0.1502,0.3309,-0.0002,0.2902,0.123,0.0996,-0.1017,0.1455,-0.0119
GNG7,0.5798,0.2726,0.4587,0.5235,0.7654,0.4487,0.6045,0.5331,0.7091,0.0357,0.4533,0.6634,0.685,0.878
GNG11,0.5729,0.1799,,0.5246,0.4196,0.5663,0.3288,0.4135,0.6577,,0.4608,,0.4612,0.2927
GNL1,0.5402,0.4535,0.5414,0.7438,0.7194,0.6593,0.8341,0.7517,0.6723,-0.1361,0.4274,0.5311,0.7001,0.4978
GNS,0.5269,0.2763,0.3425,0.5057,0.4373,0.648,0.611,0.6218,0.5036,0.1805,0.302,0.5105,0.6759,0.2841
GOLGA1,0.635,0.2434,0.2792,0.6698,0.3869,0.5854,0.5885,0.6092,0.5604,0.3515,0.3259,0.2391,0.613,0.5291
GOLGA2,0.5937,0.3223,0.2041,0.6896,0.3746,0.5804,0.55,0.5195,0.5304,0.1774,0.3214,0.111,0.505,0.3689
GOLGA3,0.4325,0.3878,0.2323,0.5457,0.308,0.7253,0.473,0.6554,0.5032,0.0399,0.3727,0.3205,0.6633,0.4474
GOLGA4,0.4484,0.175,0.3592,0.6382,0.5034,0.7141,0.6912,0.5752,0.6314,0.1627,0.545,0.1398,0.5999,0.3218
GOLGB1,0.3132,0.3561,0.2545,0.6985,0.2988,0.5946,0.6634,0.5066,0.3804,-0.0271,0.3707,-0.0216,0.4469,0.328
GOT1,0.52,0.0746,0.5026,0.4918,0.7829,0.8058,0.7877,0.8487,0.762,0.2696,0.5233,0.5879,0.6541,0.8292
GOT2,0.4781,0.1126,0.3319,0.6073,0.5733,0.5512,0.7564,0.6363,0.5187,0.2458,0.222,0.3176,0.3887,0.8196
SFN,0.6137,0.4093,0.4937,0.9127,0.4785,0.6967,0.9152,0.8134,0.8695,0.4968,0.5955,0.3309,0.4124,0.877
GP1BA,-0.0359,,,-0.08,-0.0412,-0.0624,-0.2345,-0.2057,0.0743,,0.0804,,-0.1509,0.1512
GP2,0.6115,0.5091,0.1758,0.0835,,,,,0.443,0.5819,0.3633,,,0.6174
GPC1,0.4405,0.4292,0.2913,0.8101,0.533,0.463,0.8806,0.6708,0.3917,0.0378,0.5298,0.5863,0.7715,0.7642
GPD1,0.6522,0.5771,0.6373,0.5595,0.5688,0.7151,0.5054,0.821,0.2173,,0.7395,0.7377,0.8846,0.8611
GPD2,0.6716,0.2827,0.2417,0.8736,0.7046,0.513,0.7377,0.7209,0.4685,0.0349,0.5651,0.5809,0.3654,0.6388
GPI,0.6178,0.412,0.3652,0.6496,0.6937,0.5714,0.7972,0.8169,0.5984,-0.1174,0.4615,0.4564,0.6626,0.6103
GPLD1,0.1178,-0.0546,,-0.1962,0.0686,-0.0266,0.0107,0.0065,0.1144,0.0968,0.0677,-0.1386,-0.3057,0.6822
GRK5,0.2767,0.3443,,0.3494,,0.4706,0.5947,0.6323,0.4183,,0.1596,0.3965,0.5456,0.4782
GRK6,0.3013,-0.0194,0.0326,0.4703,0.1205,0.2984,0.3469,0.3612,0.4683,-0.2977,0.274,,0.2141,0.2547
MKNK2,0.2286,,,0.1312,,,0.4558,0.0234,-0.0044,,,,,
GPS1,0.0387,-0.0347,-0.0904,0.345,0.0415,-0.1101,0.1109,0.1489,-0.009,0.2722,-0.1513,0.1162,0.085,0.081
GPS2,0.0958,0.0616,-0.0644,0.2533,0.0958,0.2766,0.2221,0.0903,0.1743,,0.0953,-0.0488,0.2467,0.2364
GPT,0.4068,0.1363,0.3289,0.2414,0.306,0.7598,0.0606,-0.0415,,,0.5326,0.5376,0.2705,0.7323
GPX1,0.2901,0.3458,0.1518,0.523,0.5467,0.4991,0.6677,0.607,0.4586,0.0542,0.3513,0.6048,0.7753,0.488
GPX2,0.0324,0.3474,0.6377,0.872,,-0.0189,0.8768,0.6379,0.6134,,0.8516,-0.0472,,0.7882
GPX3,0.3644,0.0691,0.3676,0.2956,0.2218,-0.0314,0.2589,0.2879,0.4736,0.1831,0.3307,0.6429,0.5557,0.0266
GPX4,0.393,0.2445,0.4699,0.5335,0.563,0.8172,0.5011,0.6989,0.6803,0.36,0.317,0.5103,0.2772,0.2915
GPX7,0.6914,0.3754,0.4549,0.7898,0.6387,0.7676,0.8249,0.771,0.8024,,0.6556,0.7648,0.777,0.9125
GRB2,0.6446,0.2941,0.3414,0.6174,0.5734,0.6689,0.717,0.7082,0.6186,-0.0781,0.4408,0.4463,0.7331,0.3307
GRB7,0.6082,0.4139,0.4579,0.7326,0.6556,0.5758,0.8343,0.7595,0.8274,0.3947,0.5867,,,0.5277
GRB10,0.8077,0.3218,,0.8063,0.1839,0.8049,0.8488,0.8426,0.7328,,0.7203,,0.8506,0.478
GRB14,0.5738,,,0.1983,,0.4641,0.7018,0.7445,0.4868,,0.0377,,,0.4326
RAPGEF1,0.3615,0.1272,0.1325,0.6056,0.3044,0.2926,0.5481,0.5969,0.4661,,0.0629,0.3466,0.3973,0.2484
GRN,0.2413,0.3329,0.2376,0.609,0.527,0.1639,0.6238,0.3561,0.4903,0.1711,0.3864,,0.4116,0.2615
NR3C1,0.582,0.3902,0.3231,0.6805,0.5741,0.7445,0.8206,0.8386,0.8897,,0.4826,0.4992,0.6161,0.3919
ARHGAP35,0.6585,0.154,0.1221,0.6717,0.5566,0.5755,0.7411,0.7939,0.4835,0.1472,0.2879,0.5669,0.8491,0.6448
GRP,0.0518,0.1559,,,,,0.282,0.2824,,,0.0928,,,
PDIA3,0.519,0.2921,0.5457,0.477,0.7321,0.6204,0.7059,0.7615,0.6936,,0.5802,0.575,0.7519,0.5281
GRSF1,0.5231,0.3309,0.2007,0.5039,0.5651,0.4409,0.5729,0.6286,0.4498,0.3486,0.3191,0.4115,0.5057,0.5328
GSK3A,0.3711,0.2076,0.1363,0.3163,0.5138,0.1459,0.5228,0.4937,0.2924,0.3917,0.3503,0.4365,0.4782,0.4898
GSK3B,0.378,-0.0235,0.1789,0.7227,0.2693,0.506,0.778,0.5612,0.3664,0.3473,0.2979,0.4815,0.6394,0.2704
GSN,0.5659,0.3786,0.4062,0.3887,0.4343,0.4092,0.5277,0.6422,0.6192,-0.024,0.5459,0.713,0.8204,0.2875
GSPT1,0.5935,0.2744,0.2609,0.7569,0.7342,0.7326,0.6807,0.7541,0.6966,-0.0006,0.4051,0.4507,0.6122,0.5181
GSR,0.7798,0.0639,0.454,0.7916,0.708,0.7013,0.8889,0.801,0.8036,0.0545,0.6388,0.5069,0.455,0.8142
GSS,0.3717,0.2768,0.2732,0.5577,0.6439,0.6408,0.6911,0.5281,0.3117,0.2031,0.2236,0.2381,0.4826,0.516
GSTA1,0.391,0.3305,0.3335,0.6763,0.7284,0.8803,0.906,0.867,0.8584,,0.6034,,,0.83
GSTA2,0.229,0.337,,,0.3157,0.8577,0.6534,0.7212,,,0.5378,,,0.6134
GSTA3,0.1708,0.0462,,,0.2186,0.3337,0.3903,0.2915,0.2895,,,,,0.1455
GSTA4,0.7064,0.245,,0.91,0.5781,0.7903,0.9348,0.6952,0.8136,,0.4961,0.5134,0.8539,0.2409
GSTM1,0.7663,0.3524,0.7922,0.8496,0.7798,0.8155,0.8169,0.8675,0.8595,,0.8188,0.7392,0.8565,0.8029
GSTM2,0.684,0.4511,0.4309,0.7601,0.572,0.662,0.8182,0.6971,0.6547,0.3472,0.624,0.663,0.4476,0.2535
GSTM3,0.8613,0.5415,0.7492,0.9286,0.6309,0.844,0.9281,0.9027,0.9057,0.4028,0.8021,0.7298,0.8228,0.8897
GSTM4,0.406,0.2252,0.3127,0.6742,0.2808,0.5023,0.6303,0.4829,0.4443,0.0389,0.4279,0.4209,0.4353,0.4348
GSTM5,0.3324,0.5134,,0.4839,0.2617,0.362,0.2161,0.3035,0.4765,0.3437,0.4196,0.596,0.5397,0.4288
GSTP1,0.7493,0.1846,0.232,0.7648,0.4401,0.8453,0.8025,0.7911,0.5856,0.0467,0.3962,0.4487,0.2937,0.8098
GSTT1,0.7707,,0.6561,,0.7416,,,,,,,,,
GSTZ1,0.7294,0.1559,0.3588,0.7113,0.7704,0.5773,0.7727,0.7729,0.558,0.4683,0.4848,0.3522,0.5787,0.6867
MSH6,0.6487,0.3663,0.4138,0.8843,0.753,0.6398,0.8853,0.8734,0.767,0.0878,0.4379,0.7425,0.7133,0.8038
GTF2A1,-0.0167,0.1366,0.1214,0.1818,0.3584,0.2098,0.4079,0.3582,0.2762,,-0.1048,-0.0797,0.3189,0.3279
GTF2A2,-0.0012,0.2777,0.1199,0.1697,-0.0081,0.1528,0.1089,0.1061,-0.0981,,0.0518,0.2884,0.0809,-0.0633
GTF2B,0.4495,0.09,0.1663,0.2841,0.3825,0.3257,0.473,0.5466,0.1411,-0.1647,0.3987,0.3519,0.0354,0.4035
GTF2E1,0.269,0.3156,0.1027,0.5995,0.1137,0.3068,0.6042,0.4275,0.4421,,0.1704,0.4386,0.2318,0.3372
GTF2E2,0.5273,0.0297,0.1312,0.5082,0.5499,0.3471,0.4962,0.51,0.4891,0.1609,0.2138,,0.5008,0.7853
GTF2F1,0.1582,0.1645,0.2854,0.2787,0.3546,-0.0725,0.4007,0.2554,0.2864,0.1425,0.212,0.2683,0.1427,0.3081
GTF2F2,0.5056,0.4463,0.2961,0.4928,0.5346,0.3736,0.6717,0.6617,0.4278,0.0365,0.1999,0.381,0.6729,0.6115
GTF2H1,0.4318,0.2578,0.2385,0.3766,0.3429,0.4997,0.5327,0.4725,0.3643,,0.1845,0.3765,0.341,0.4366
GTF2H3,0.0788,0.1696,,0.2381,0.0439,0.1752,0.2246,-0.0002,-0.0801,,0.0234,,0.1335,0.194
GTF2H4,0.2815,0.0235,,-0.0074,0.2086,0.1428,0.3541,-0.0047,0.2292,,0.0582,,0.1202,-0.0723
GTF2I,0.3812,,0.2599,0.7357,0.3291,0.5791,0.7037,0.8081,0.811,0.2469,0.6288,0.5284,0.7634,
GTF3A,0.3248,,,0.477,0.2993,0.3326,0.5453,0.6424,0.3649,,0.3091,,0.5081,0.4927
BRF1,0.298,-0.0613,,0.4155,0.2486,0.5158,0.5546,0.6418,0.2772,,0.0836,,0.5331,0.5122
GTF3C1,0.414,-0.077,0.1866,0.2283,0.3396,0.2582,0.3503,0.5041,0.3478,0.2506,-0.0344,0.33,0.4123,0.3849
GTF3C2,0.2743,0.2337,0.3147,0.725,0.3171,0.1813,0.6316,0.4006,0.3119,-0.2774,0.1117,0.6487,0.5599,0.367
GUCY1A2,0.6055,0.0694,,0.5612,0.2079,0.8461,0.752,0.7567,0.8443,0.1138,0.7038,0.6852,0.6491,0.4787
GUCY1A1,0.6707,0.402,0.4632,0.7554,0.4596,0.8296,0.7715,0.811,0.7041,0.647,0.6336,0.6775,0.7796,0.6488
GUCY1B1,0.5562,0.4521,0.3827,0.6998,0.3324,0.7437,0.6039,0.6265,0.6569,0.7244,0.3837,0.6274,0.7457,0.6558
GUK1,0.1628,0.0923,0.1139,0.5925,0.4283,0.2839,0.5487,0.4485,0.2839,0.0687,0.3172,0.5203,0.4466,0.4362
GUSB,0.5351,0.1356,0.3254,0.582,0.391,0.2901,0.6955,0.6343,0.6776,0.1698,0.4996,0.5809,0.5295,0.6389
GYG1,0.4346,0.0506,0.219,0.6427,0.6427,0.5795,0.5996,0.4702,0.5825,0.1951,0.244,0.6782,0.7122,0.588
GYPA,0.0558,-0.1462,,-0.0661,0.0342,0.3041,-0.0455,-0.0707,0.0016,,0.053,0.1212,-0.0252,0.1767
GYPC,0.3329,0.1922,0.1408,0.2091,0.313,0.3257,0.4022,0.3366,0.2679,,0.4143,,0.3661,0.3476
GYS1,0.4638,0.299,0.2827,0.5705,0.5453,0.5442,0.8395,0.694,0.5981,0.2055,0.5523,0.4945,0.7765,0.3414
GZMH,0.316,0.0914,0.1997,0.595,0.3475,0.256,0.5642,0.4216,0.4107,,0.1934,,,0.4897
GUCY2D,0.0139,,,,,,,-0.1147,,,,,,
GZMA,0.6415,0.222,0.415,0.8633,0.656,0.7988,0.8539,0.7314,0.6325,,0.6331,,,0.5781
GZMB,0.4702,,0.2345,0.693,,,0.7066,0.7705,0.3315,,,,,
GZMK,0.4641,0.2001,0.2348,0.3011,0.5014,0.3802,0.7097,0.3588,0.0829,0.1316,0.3124,,,0.6797
GZMM,0.291,0.0846,,0.1758,,,0.4362,0.406,,,0.2459,,,0.4009
H1F0,0.1901,0.3375,0.4848,0.345,0.6969,0.4285,0.2169,0.5146,0.0369,0.073,0.1988,0.3283,0.3845,0.6133
HIST1H1C,-0.0056,-0.1011,0.0454,0.0374,0.0454,-0.0736,-0.0804,0.1601,0.0382,-0.1201,-0.1105,0.1039,0.0642,0.09
HIST1H1D,0.0184,-0.0047,0.0328,0.1518,0.1986,,0.1135,0.1689,0.0421,0.3598,0.2362,-0.055,0.0787,0.1583
HIST1H1E,0.0317,0.1606,-0.0228,0.1436,0.1561,-0.0024,-0.1021,0.2032,-0.0135,0.1435,0.1102,-0.0291,0.0379,0.3507
HIST1H1B,0.0247,0.3616,0.1571,0.4057,0.1727,0.1723,0.4429,0.4111,0.2576,0.3394,0.0783,0.4001,0.1833,0.4077
HIST1H1T,-0.0453,,,,0.0437,,,,,,,,,
H2AFX,-0.0808,0.1709,0.2273,-0.0432,0.0572,-0.2088,-0.0659,-0.1193,0.0306,,0.1738,0.3906,0.1605,0.2505
HIST1H2BD,-0.05,,-0.2135,,0.0336,,0.1435,,,,,,,
HIST1H2BB,0.2122,,-0.2276,,0.1033,0.0422,0.1997,,,,,,,
H3F3A,-0.313,-0.0887,-0.0378,0.049,0.1509,0.1226,0.1274,0.2074,0.0819,,-0.0633,0.1942,0.177,0.4336
HIST1H1A,0.1104,0.1458,-0.0949,0.4688,0.0981,0.112,0.3448,0.0022,0.0571,,0.092,,,0.2355
HABP2,0.1419,0.1381,0.0964,-0.0666,0.0955,0.1332,0.1622,-0.005,0.1363,0.1397,-0.2564,-0.0993,-0.2275,0.6266
HSD17B10,0.2944,0.0183,0.5262,0.5084,0.5824,0.1317,0.5403,0.558,0.4968,-0.1399,0.1703,0.2694,0.3729,0.7663
HAGH,0.5734,0.1154,0.28,0.5336,0.602,0.7247,0.6195,0.6807,0.2924,0.1782,0.4039,0.6906,0.6496,0.8724
HADHA,0.3526,0.0916,0.3204,0.4722,0.5942,0.626,0.5626,0.5013,0.2439,-0.0684,0.3027,0.2511,0.3704,0.6572
HADHB,0.3309,0.0591,0.2644,0.4758,0.5865,0.4969,0.5585,0.4495,0.3748,0.1227,-0.0039,0.3965,0.4369,0.7224
HADH,0.6319,0.2027,0.3474,0.6507,0.7649,0.1819,0.6518,0.6968,0.6661,0.1075,0.7431,0.3787,0.3649,0.7709
HARS,0.4757,0.4729,0.4188,0.7853,0.6302,0.7521,0.7535,0.7234,0.5841,-0.0234,0.4126,0.313,0.4889,0.54
HBA1,0.5305,0.1829,0.2472,0.6181,0.6297,0.5281,0.6262,0.5808,0.5523,-0.0477,0.6664,0.5275,0.7802,0.4193
HBM,0.2616,0.0999,,0.1339,,0.4988,0.2238,0.2216,0.2144,,0.5352,0.4172,0.405,0.0217
HBB,0.4329,0.2068,0.303,0.6981,0.7428,0.4772,0.6421,0.586,0.6141,0.0253,0.716,0.5339,0.7845,0.3619
HBD,0.1431,0.0379,0.0015,0.0484,0.2599,0.3774,0.1226,0.1366,0.1267,0.1149,0.3522,0.3353,0.4746,0.2065
HBG1,0.1692,0.0751,0.126,0.2288,0.1825,0.3612,0.2442,0.2092,0.2292,,0.3187,0.6181,0.256,0.206
HBG2,0.0526,,0.1464,,0.2061,0.3846,0.2722,0.1096,,,0.2037,,0.1177,0.4195
HBQ1,0.0149,0.0263,,-0.0797,-0.0959,0.3001,-0.0881,0.0708,0.1494,,-0.0321,0.0717,0.0416,0.2113
HBZ,0.0557,-0.1072,-0.0812,-0.1141,-0.0226,0.1358,-0.0301,0.0889,0.0351,,0.1203,0.0269,0.0335,-0.0494
HCCS,0.5478,0.2812,0.3926,0.6944,0.4711,0.3786,0.687,0.5911,0.4046,0.1325,0.6048,0.2089,0.439,0.554
SERPIND1,0.0293,0.077,-0.0013,0.0432,0.0947,0.1121,0.0932,-0.1755,-0.0941,0.1382,0.1314,0.139,-0.1326,0.5716
HCFC1,0.2593,0.0231,0.2803,0.3853,0.0091,0.0059,0.2708,0.1915,0.2129,0.27,0.089,0.4388,0.3141,0.4579
HCK,0.6053,0.2861,0.3173,0.7625,0.5625,0.7702,0.8194,0.7456,0.7886,0.3521,0.661,0.2382,0.8873,0.7112
HCLS1,0.6542,0.1169,0.5638,0.8593,0.7822,0.7993,0.8748,0.8452,0.8947,0.4712,0.8381,0.7504,0.9112,0.7981
HTT,0.5507,0.2568,0.1396,0.6374,0.428,0.3467,0.7053,0.6818,0.4559,0.1275,0.0389,0.3941,0.1095,0.5527
HDAC1,0.3898,0.2244,0.249,0.2727,0.4115,0.3954,0.4627,0.1824,0.212,0.2207,0.4166,0.4455,0.4769,0.5338
HDAC2,0.4413,0.3648,0.1219,0.5654,0.3563,0.3746,0.5375,0.4655,0.3678,0.168,0.2724,0.6279,0.5296,0.569
HDGF,0.4129,0.4083,0.2613,0.3406,0.5061,0.5982,0.6774,0.5175,0.6332,-0.03,0.3448,0.7133,0.4109,0.659
HDLBP,0.4019,0.1172,0.2451,0.5397,0.373,0.663,0.576,0.5859,0.3945,-0.0244,0.5292,0.3941,0.7303,0.5198
HELLS,0.5985,0.4762,0.2668,0.7682,0.4015,0.2684,0.852,0.5023,0.7605,,-0.0258,,0.4228,0.7049
NCKAP1L,0.6097,0.1885,0.4091,0.8906,0.639,0.8653,0.8865,0.8472,0.877,0.0382,0.7433,0.7249,0.9365,0.7471
HEXA,0.429,0.1593,0.4659,0.6658,0.4578,0.5376,0.7068,0.3311,0.4842,0.6287,0.3808,0.6525,0.7651,0.5854
HEXB,0.3706,0.3219,0.3663,0.4411,0.6072,0.575,0.6191,0.4621,0.5404,0.1733,0.4071,0.6876,0.7484,0.5428
CFH,0.3314,0.1579,0.3467,0.4773,0.3698,0.3541,0.3383,0.1934,0.064,0.123,0.3612,0.3633,0.2741,0.4333
HFE,0.3521,0.4135,,0.4683,,0.3753,0.3878,0.4785,0.4142,,0.2936,,0.5657,0.5863
CFHR1,0.2972,0.1553,0.3308,0.2326,0.2617,0.3008,0.2084,0.1632,0.053,,0.2899,0.0283,0.2221,0.527
HGD,0.6695,0.3247,0.3898,0.0446,,0.8536,0.5765,0.9092,0.9171,0.5452,0.8489,,0.6619,0.8379
HGF,0.4728,,-0.081,0.1997,,0.6002,0.7489,0.5352,0.4842,,0.5459,,0.8248,0.5817
HGFAC,-0.115,0.1361,,-0.0215,0.0052,-0.0872,-0.0877,-0.2635,-0.1923,,-0.0798,-0.2131,-0.0748,0.3396
HIC1,0.4949,0.1121,,0.4267,0.3477,0.7018,0.4746,0.2082,0.7652,,0.3669,,,-0.0565
HIP1,0.4843,0.322,0.3441,0.8428,0.5547,0.8319,0.7772,0.8807,0.8181,0.6663,0.5808,0.8353,0.7905,0.7414
UBE2K,0.5335,0.268,0.2843,0.627,0.5824,0.121,0.5557,0.5023,0.435,-0.2038,0.3586,0.335,0.2154,0.5496
HINT1,0.4635,0.2689,0.0619,0.5078,0.4924,0.6298,0.4377,0.6515,0.3086,0.1498,0.1035,0.1222,0.2246,0.3985
HIVEP1,0.0494,,,,0.0496,,0.3094,0.1568,0.0551,,,,,
HIVEP2,0.1871,,,,0.316,,0.1896,0.3688,0.4806,,0.0946,,0.3256,
HK1,0.6007,0.2804,0.4248,0.5693,0.5114,0.5132,0.8839,0.6477,0.7526,0.021,0.5997,0.5025,0.2385,0.5664
HK2,0.602,0.384,0.5444,0.6356,0.602,0.7197,0.8247,0.8699,0.8264,0.33,0.6733,0.2234,0.7619,0.7945
HK3,0.6179,0.3463,0.618,0.6624,0.4856,0.7428,0.6812,0.6711,0.7064,0.1957,0.6514,0.2327,0.8791,0.704
HLA-A,0.6245,0.3432,0.4192,0.74,0.7154,0.5987,0.6095,0.4732,0.681,,0.4707,0.7816,0.59,0.7646
HLA-B,0.738,0.2514,0.511,0.751,0.7971,0.7405,0.8245,0.5134,0.7474,,0.7327,0.7974,0.7496,0.8094
HLA-C,0.5944,0.2141,0.5721,0.6588,0.714,0.6588,0.728,0.5855,0.6567,,0.6401,,0.7645,0.601
HLA-DMA,0.5372,0.2223,0.1869,0.7219,0.592,0.6193,0.7903,0.684,0.6447,0.3448,0.5158,0.7478,0.7631,0.6354
HLA-DMB,0.5873,0.3067,0.4611,0.8565,0.6552,0.6204,0.7648,0.7426,0.7296,0.4399,0.6421,,0.8164,0.6363
