"","X","pv","mm","wm","gene","ty"
"266","lusc_SACS",0.0913279469515972,0.549019607843137,0.552333174072304,"SACS","lusc"
"267","lusc_RYR3",0.0226201969878523,0.56043956043956,0.548817461715283,"RYR3","lusc"
"268","lusc_RYR2",0.00357470711377941,0.557248830833737,0.53968253968254,"RYR2","lusc"
"269","lusc_RYR1",0.875013987384367,0.554545454545455,0.551414303419115,"RYR1","lusc"
"270","lusc_RP1L1",0.0279911231866191,0.563636363636364,0.549713418638308,"RP1L1","lusc"
"271","lusc_RP1",0.00824633110952517,0.544117647058824,0.549065240509841,"RP1","lusc"
"272","lusc_RIMS2",6.99981598518474e-07,0.570691434468524,0.550535344524312,"RIMS2","lusc"
"273","lusc_RIMS1",3.91452901667013e-07,0.532967032967033,0.554767994154183,"RIMS1","lusc"
"274","lusc_RELN",0.607922895584502,0.55,0.553506132219528,"RELN","lusc"
"275","lusc_RBMXL3",0.115283229341167,0.563636363636364,0.554377572262308,"RBMXL3","lusc"
"276","lusc_PXDNL",4.23764147330045e-09,0.573426573426574,0.546383653279282,"PXDNL","lusc"
"277","lusc_PRUNE2",0.622502113890694,0.55,0.552515360983103,"PRUNE2","lusc"
"278","lusc_PREX1",3.85770506677657e-10,0.516666666666667,0.554249465447092,"PREX1","lusc"
"279","lusc_PRDM9",0.00228170608902664,0.565217391304348,0.549318364073777,"PRDM9","lusc"
"280","lusc_PPP1R3A",2.24527868385544e-18,0.587412587412587,0.54863460056752,"PPP1R3A","lusc"
"281","lusc_PLXNA4",0.10974573493578,0.546943367508816,0.552442455904751,"PLXNA4","lusc"
"282","lusc_PLEC",0.0475313991943008,0.545454545454546,0.553778686485159,"PLEC","lusc"
"283","lusc_PKHD1L1",1.90558861138858e-13,0.576510446075663,0.543544506816359,"PKHD1L1","lusc"
"284","lusc_PKHD1",0.0880492837201469,0.541558441558442,0.552233263956068,"PKHD1","lusc"
"285","lusc_PKD1",0.0383547460684538,0.539393939393939,0.555377302362998,"PKD1","lusc"
"286","lusc_PIEZO2",0.308598717002572,0.557142857142857,0.547894721136343,"PIEZO2","lusc"
"287","lusc_PEG3",2.40841037438511e-05,0.56764705882353,0.552378897399935,"PEG3","lusc"
"288","lusc_PCLO",0.0618829064588359,0.557312252964427,0.549853429743991,"PCLO","lusc"
"289","lusc_PCDH17",2.11084377672761e-08,0.573626373626374,0.549160134378499,"PCDH17","lusc"
"290","lusc_PCDH15",0.149587258662942,0.555506117908788,0.549684512221464,"PCDH15","lusc"
"291","lusc_PCDH11X",2.73423607105282e-13,0.523809523809524,0.555412371134021,"PCDH11X","lusc"
"292","lusc_PAPPA2",3.85714595299165e-16,0.582142857142857,0.545311067797056,"PAPPA2","lusc"
"293","lusc_OTOGL",0.200175771899537,0.549450549450549,0.550881858902576,"OTOGL","lusc"
"294","lusc_OTOG",0.157945713887716,0.55,0.552034873649524,"OTOG","lusc"
"295","lusc_OBSCN",6.61680408275902e-27,0.518260869565217,0.561547028449934,"OBSCN","lusc"
"296","lusc_NRXN1",0.480729771319533,0.55944055944056,0.551505697232773,"NRXN1","lusc"
"297","lusc_NRK",0.981456393840538,0.55,0.550810142238714,"NRK","lusc"
"298","lusc_NPAP1",0.000498397637500306,0.567857142857143,0.548730267673301,"NPAP1","lusc"
"299","lusc_NOTCH3",0.899405266239748,0.552447552447553,0.552963917525773,"NOTCH3","lusc"
"300","lusc_NOS1",0.00948584583982254,0.554545454545455,0.548591749644381,"NOS1","lusc"
"301","lusc_NELL1",0.083477024964246,0.539393939393939,0.551439765126472,"NELL1","lusc"
"302","lusc_NEB",0.0174928837052201,0.56140350877193,0.548203949608444,"NEB","lusc"
"303","lusc_NAV3",7.5160858348288e-07,0.538461538461538,0.556672683766425,"NAV3","lusc"
"304","lusc_NALCN",0.18263842271139,0.545454545454546,0.554283328569587,"NALCN","lusc"
"305","lusc_MYT1L",0.0561473374441541,0.545454545454546,0.553024251227372,"MYT1L","lusc"
"306","lusc_MYO7B",3.13138793993304e-12,0.528571428571429,0.555491314390612,"MYO7B","lusc"
"307","lusc_MYO18B",0.129362441335138,0.551515151515152,0.550153332185733,"MYO18B","lusc"
"308","lusc_MYO16",0.000945638499389087,0.564912280701754,0.550537113292893,"MYO16","lusc"
"309","lusc_MYLK",5.02804947126657e-06,0.571428571428572,0.552081336310058,"MYLK","lusc"
"310","lusc_MYH2",0.692095697548668,0.554545454545455,0.553033204436954,"MYH2","lusc"
"311","lusc_MYH15",0.00416188451225055,0.538461538461539,0.553431904503527,"MYH15","lusc"
"312","lusc_MYH1",0.0132429850249016,0.564285714285714,0.550082622436097,"MYH1","lusc"
"313","lusc_MUC5B",0.000309652997769989,0.564499484004128,0.545238781193837,"MUC5B","lusc"
"314","lusc_MUC17",0.760657083128781,0.553162393162393,0.551401004937407,"MUC17","lusc"
"315","lusc_MUC12",0.00375023252972392,0.543931623931624,0.551299899145516,"MUC12","lusc"
"316","lusc_MGAM2",1.63915543787189e-06,0.571428571428571,0.548756119670632,"MGAM2","lusc"
